"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"CHUNGARA AJATA","-18,235277780000001","-69,183333329999996","pp","X01010010.0","10",0.178309232480534,0.985255508308159
"CHUNGARA AJATA","-18,235277780000001","-69,183333329999996","pp","X01010010.0","11",-1.91279199110122,0.538107906623651
"CHUNGARA AJATA","-18,235277780000001","-69,183333329999996","pp","X01010010.0","12",-7.14082313681869,0.100719626764514
"CHUNGARA AJATA","-18,235277780000001","-69,183333329999996","pp","X01010010.0","Anual",-24.0119466073415,0.544119683338951
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","1",-13.6739933259177,0.163909201666039
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","2",2.00609566184651,0.668417358054664
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","3",-7.94206896551723,0.555837575526249
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","4",0.544026696329256,0.971100433219661
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","5",-0.302068965517242,0.935508073455938
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","6",-0.370967741935484,0.918183765766394
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","7",0.880978865406006,0.224842110464924
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","8",-5.60509454949944,0.13001112650027
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","9",-0.170411568409343,0.853731670815737
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","10",2.75910456062292,0.33117252311758
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","11",0.137530589543937,0.675290749512815
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","12",-4.90382647385984,0.748027895602216
"COTACOTANI","-18,190833330000000","-69,243611110000003","pp","X01020014.8","Anual",-26.6406952169077,0.748105391427001
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","1",-6.33781979977752,0.520693269833088
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","2",0.84780867630702,0.775294429517785
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","3",2.97675194660734,0.299486340686488
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","4",1.46618464961068,0.349906501472845
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","5",-0.0398220244716352,0.438839477865596
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","6",1.24538375973304,0.00685073800189282
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","7",-0.288320355951057,0.215588465090227
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","8",-1.07152391546162,0.98161933608933
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","9",0.267074527252503,0.0181090416626478
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","10",0.532591768631813,0.0744125270684166
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","11",0.0761957730812024,0.126370086585736
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","12",-2.19176863181312,0.957308342973834
"PARINACOTA EX ENDESA","-18,203888890000002","-69,268333330000004","pp","X01020017.2","Anual",-2.51726362625138,1
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","1",-7.74905450500556,0.568058623631595
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","2",-4.11457174638486,0.748027895602216
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","3",-4.83670745272525,0.900565598249125
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","4",0.938820912124584,0.537901747331259
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","5",-0.0969966629588431,0.325590383113816
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","6",1.18642936596218,0.0254215259803796
"GUALLATIRE","-18,497499999999999","-69,154166669999995","pp","X01021007.0","7",0.111234705228032,0.310594381841425
