"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"41","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,"X05427006.2","MaxTmax","�C_decada","Anual",0.432480533926585,0.0472276326016854
"42","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,"X05427006.2","MaxTmax","�C_decada","Otono",0.0715239154616244,0.733849529554214
"43","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,"X05427006.2","MaxTmax","�C_decada","Invierno",0.720355951056734,0.128969048237102
"44","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,"X05427006.2","MaxTmax","�C_decada","Primavera",0.00711902113460153,0.325308462451078
"45","LLIU-LLIU EMBALSE",-33.09833333,-71.21444444,"X05427006.2","MaxTmax","�C_decada","Verano",0.915270935960589,0.00381184912945188
"46","LAGO PEÑUELAS",-33.145,-71.55611111,"X05510002.0","MaxTmax","�C_decada","Anual",-0.227174638487208,1
"47","LAGO PEÑUELAS",-33.145,-71.55611111,"X05510002.0","MaxTmax","�C_decada","Otono",-0.799110122358173,0.128195455973952
"48","LAGO PEÑUELAS",-33.145,-71.55611111,"X05510002.0","MaxTmax","�C_decada","Invierno",-0.874215795328142,0.210546354416224
"49","LAGO PEÑUELAS",-33.145,-71.55611111,"X05510002.0","MaxTmax","�C_decada","Primavera",-0.0628476084538366,0.679311028508793
"50","LAGO PEÑUELAS",-33.145,-71.55611111,"X05510002.0","MaxTmax","�C_decada","Verano",0.328128078817731,0.395372727156355
"51","EL YESO EMBALSE",-33.67583333,-70.08861111,"X05703008.9","MaxTmax","�C_decada","Anual",0.14107897664071,0.115753494076094
"52","EL YESO EMBALSE",-33.67583333,-70.08861111,"X05703008.9","MaxTmax","�C_decada","Otono",0.116262513904338,0.520117136818598
"53","EL YESO EMBALSE",-33.67583333,-70.08861111,"X05703008.9","MaxTmax","�C_decada","Invierno",0.394160177975528,0.308951457579021
"54","EL YESO EMBALSE",-33.67583333,-70.08861111,"X05703008.9","MaxTmax","�C_decada","Primavera",-0.38242491657397,0.566655709617522
"55","EL YESO EMBALSE",-33.67583333,-70.08861111,"X05703008.9","MaxTmax","�C_decada","Verano",0.537463054187192,0.0252388106922161
"56","PIRQUE",-33.67388889,-70.58666667,"X05711003.1","MaxTmax","�C_decada","Anual",0.291045606229146,0.067850956412105
"57","PIRQUE",-33.67388889,-70.58666667,"X05711003.1","MaxTmax","�C_decada","Otono",0.503058954393769,0.0535167649207568
"58","PIRQUE",-33.67388889,-70.58666667,"X05711003.1","MaxTmax","�C_decada","Invierno",0.441668520578423,0.15323661308135
"59","PIRQUE",-33.67388889,-70.58666667,"X05711003.1","MaxTmax","�C_decada","Primavera",0.109199110122359,0.567523817395158
"60","PIRQUE",-33.67388889,-70.58666667,"X05711003.1","MaxTmax","�C_decada","Verano",0.618522167487682,0.00441057893955906
"61","LAGUNA ACULEO",-33.88583333,-70.8775,"X05716005.5","MaxTmax","�C_decada","Anual",0.636707452725252,0.00929733162466838
"62","LAGUNA ACULEO",-33.88583333,-70.8775,"X05716005.5","MaxTmax","�C_decada","Otono",0.504560622914349,0.184880991442547
"63","LAGUNA ACULEO",-33.88583333,-70.8775,"X05716005.5","MaxTmax","�C_decada","Invierno",1.0354171301446,0.0278944984069308
"64","LAGUNA ACULEO",-33.88583333,-70.8775,"X05716005.5","MaxTmax","�C_decada","Primavera",0.36974416017798,0.389520220686447
"65","LAGUNA ACULEO",-33.88583333,-70.8775,"X05716005.5","MaxTmax","�C_decada","Verano",0.902463054187193,0.000785956336548754
"66","CERRO CALAN",-33.395,-70.53666667,"X05730012.4","MaxTmax","�C_decada","Anual",0.425528364849833,0.0240478070290103
"67","CERRO CALAN",-33.395,-70.53666667,"X05730012.4","MaxTmax","�C_decada","Otono",0.424805339265852,0.153105615267747
"68","CERRO CALAN",-33.395,-70.53666667,"X05730012.4","MaxTmax","�C_decada","Invierno",0.132402669632925,0.308385626670721
"69","CERRO CALAN",-33.395,-70.53666667,"X05730012.4","MaxTmax","�C_decada","Primavera",-0.0588209121245856,0.871980723480886
"70","CERRO CALAN",-33.395,-70.53666667,"X05730012.4","MaxTmax","�C_decada","Verano",0.679556650246307,0.0041184203860618
"71","HUECHUN ANDINA",-33.0725,-70.7675,"X05732002.8","MaxTmax","�C_decada","Anual",1.64249165739711,2.18878365657271e-06
"72","HUECHUN ANDINA",-33.0725,-70.7675,"X05732002.8","MaxTmax","�C_decada","Otono",0.949499443826477,0.00126231568438293
"73","HUECHUN ANDINA",-33.0725,-70.7675,"X05732002.8","MaxTmax","�C_decada","Invierno",0.961624026696331,0.0799417823230913
"74","HUECHUN ANDINA",-33.0725,-70.7675,"X05732002.8","MaxTmax","�C_decada","Primavera",0.986651835372637,0.000421108636919708
"75","HUECHUN ANDINA",-33.0725,-70.7675,"X05732002.8","MaxTmax","�C_decada","Verano",2.10344827586207,6.11661158145682e-08
"76","MELIPILLA",-33.68027778,-71.2,"X05740005.6","MaxTmax","�C_decada","Anual",-1.3315572858732,0.0477484748770174
"77","MELIPILLA",-33.68027778,-71.2,"X05740005.6","MaxTmax","�C_decada","Otono",-1.2642936596218,0.00185068598232595
"78","MELIPILLA",-33.68027778,-71.2,"X05740005.6","MaxTmax","�C_decada","Invierno",-2.00901001112347,0.00166878380212667
"79","MELIPILLA",-33.68027778,-71.2,"X05740005.6","MaxTmax","�C_decada","Primavera",-1.68489432703003,6.19884141042474e-07
"80","MELIPILLA",-33.68027778,-71.2,"X05740005.6","MaxTmax","�C_decada","Verano",-1.16660098522167,0.151340154022005
"81","LOS PANGUILES",-33.43888889,-71.02527778,"X05744002.3","MaxTmax","�C_decada","Anual",0.00155728587319387,0.274543536952004
"82","LOS PANGUILES",-33.43888889,-71.02527778,"X05744002.3","MaxTmax","�C_decada","Otono",-0.114571746384873,0.985728529304157
"83","LOS PANGUILES",-33.43888889,-71.02527778,"X05744002.3","MaxTmax","�C_decada","Invierno",-0.254160177975529,0.816427058747706
"84","LOS PANGUILES",-33.43888889,-71.02527778,"X05744002.3","MaxTmax","�C_decada","Primavera",-0.790711902113459,0.0331539352768765
"85","LOS PANGUILES",-33.43888889,-71.02527778,"X05744002.3","MaxTmax","�C_decada","Verano",0.307389162561574,0.0976701656142424
"86","RENGO",-34.38166667,-70.84527778,"X06015003.6","MaxTmax","�C_decada","Anual",-0.956729699666296,0.00229504297635832
"87","RENGO",-34.38166667,-70.84527778,"X06015003.6","MaxTmax","�C_decada","Otono",-0.726807563959956,0.010730176871371
"88","RENGO",-34.38166667,-70.84527778,"X06015003.6","MaxTmax","�C_decada","Invierno",-2.57530589543938,1.56160409209413e-05
"89","RENGO",-34.38166667,-70.84527778,"X06015003.6","MaxTmax","�C_decada","Primavera",-1.1944382647386,0.00111190853434389
"90","RENGO",-34.38166667,-70.84527778,"X06015003.6","MaxTmax","�C_decada","Verano",-0.944827586206891,0.00326247627830437
"91","CONVENTO VIEJO",-34.76944444,-71.13305556,"X06034003.K","MaxTmax","�C_decada","Anual",0.448498331479424,0.106354222428887
"92","CONVENTO VIEJO",-34.76944444,-71.13305556,"X06034003.K","MaxTmax","�C_decada","Otono",0.0274137931034511,0.707095598021604
"93","CONVENTO VIEJO",-34.76944444,-71.13305556,"X06034003.K","MaxTmax","�C_decada","Invierno",-0.458220244716352,0.400707531164524
"94","CONVENTO VIEJO",-34.76944444,-71.13305556,"X06034003.K","MaxTmax","�C_decada","Primavera",-0.177196885428254,0.732998154798869
"95","CONVENTO VIEJO",-34.76944444,-71.13305556,"X06034003.K","MaxTmax","�C_decada","Verano",0.589655172413793,0.073077480937843
"96","POTRERO GRANDE",-35.18333333,-71.09777778,"X07116005.K","MaxTmax","�C_decada","Anual",0.274749721913239,0.174024831749156
"97","POTRERO GRANDE",-35.18333333,-71.09777778,"X07116005.K","MaxTmax","�C_decada","Otono",-0.424916573971079,0.120168420344292
"98","POTRERO GRANDE",-35.18333333,-71.09777778,"X07116005.K","MaxTmax","�C_decada","Invierno",-0.750278086763068,0.453038520297516
"99","POTRERO GRANDE",-35.18333333,-71.09777778,"X07116005.K","MaxTmax","�C_decada","Primavera",-0.186985539488324,0.554742508722372
"100","POTRERO GRANDE",-35.18333333,-71.09777778,"X07116005.K","MaxTmax","�C_decada","Verano",0.510837438423649,0.0679525156499897
"101","DIGUA EMBALSE",-36.25666667,-71.54833333,"X07331002.4","MaxTmax","�C_decada","Anual",0.00489432703003646,0.985720913384623
"102","DIGUA EMBALSE",-36.25666667,-71.54833333,"X07331002.4","MaxTmax","�C_decada","Otono",-0.279866518353723,0.4748391768453
"103","DIGUA EMBALSE",-36.25666667,-71.54833333,"X07331002.4","MaxTmax","�C_decada","Invierno",-1.04204671857619,0.0829204011481199
"104","DIGUA EMBALSE",-36.25666667,-71.54833333,"X07331002.4","MaxTmax","�C_decada","Primavera",-0.191935483870964,0.431618464997675
"105","DIGUA EMBALSE",-36.25666667,-71.54833333,"X07331002.4","MaxTmax","�C_decada","Verano",0.3192118226601,0.624554364021876
"106","PARRAL",-36.19333333,-71.82888889,"X07345001.2","MaxTmax","�C_decada","Anual",1.44106785317019,0.000269020376780009
"107","PARRAL",-36.19333333,-71.82888889,"X07345001.2","MaxTmax","�C_decada","Otono",0.117241379310346,0.829869533470979
"108","PARRAL",-36.19333333,-71.82888889,"X07345001.2","MaxTmax","�C_decada","Invierno",-0.277753058954394,0.76147900404991
"109","PARRAL",-36.19333333,-71.82888889,"X07345001.2","MaxTmax","�C_decada","Primavera",0.772080088987767,0.157709167710995
"110","PARRAL",-36.19333333,-71.82888889,"X07345001.2","MaxTmax","�C_decada","Verano",1.81655172413793,0.000109927809166049
"111","ANCOA EMBALSE",-35.91055556,-71.29583333,"X07355007.6","MaxTmax","�C_decada","Anual",-1.56195773081202,5.54961536811964e-05
"112","ANCOA EMBALSE",-35.91055556,-71.29583333,"X07355007.6","MaxTmax","�C_decada","Otono",-1.55873192436041,0.00127356404523985
"113","ANCOA EMBALSE",-35.91055556,-71.29583333,"X07355007.6","MaxTmax","�C_decada","Invierno",-1.95194660734149,3.79432279929267e-05
"114","ANCOA EMBALSE",-35.91055556,-71.29583333,"X07355007.6","MaxTmax","�C_decada","Primavera",-1.52391546162403,1.63646927729937e-05
"115","ANCOA EMBALSE",-35.91055556,-71.29583333,"X07355007.6","MaxTmax","�C_decada","Verano",-1.50098522167488,0.000147148761900693
"116","TALCA U.C.",-35.43583333,-71.61944444,"X07378002.0","MaxTmax","�C_decada","Anual",-0.0348164627363715,0.914580625013218
"117","TALCA U.C.",-35.43583333,-71.61944444,"X07378002.0","MaxTmax","�C_decada","Otono",-0.307563959955505,0.283746344032158
"118","TALCA U.C.",-35.43583333,-71.61944444,"X07378002.0","MaxTmax","�C_decada","Invierno",-0.0446051167964378,0.591821056895293
"119","TALCA U.C.",-35.43583333,-71.61944444,"X07378002.0","MaxTmax","�C_decada","Primavera",-0.120133481646272,0.734285776311683
"120","TALCA U.C.",-35.43583333,-71.61944444,"X07378002.0","MaxTmax","�C_decada","Verano",0.220443349753696,0.625044370359174
"121","COLORADO",-35.64083333,-71.26055556,"X07378003.9","MaxTmax","�C_decada","Anual",-0.403337041156841,0.398892496767275
"122","COLORADO",-35.64083333,-71.26055556,"X07378003.9","MaxTmax","�C_decada","Otono",-0.590433815350392,0.0514620760833807
